# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.6719078e+02    1.3126034e+00    4.3770242e-01    7.6184472e-01    1.9135909e-01    1.4051557e+00    5.9020458e+19    7.1166490e-01    4.4714924e-01   -1.0000000e+00   -1.0000000e+00
   -3.6709293e+02    1.3125093e+00    4.3765834e-01    7.6189938e-01    1.9134167e-01    1.4049782e+00    5.9008923e+19    7.1175483e-01    4.4710257e-01   -1.0000000e+00   -1.0000000e+00
   -3.6699630e+02    1.3124153e+00    4.3761431e-01    7.6195393e-01    1.9132427e-01    1.4048011e+00    5.8997409e+19    7.1184456e-01    4.4705595e-01   -1.0000000e+00   -1.0000000e+00
   -3.6681029e+02    1.3122326e+00    4.3752856e-01    7.6206003e-01    1.9129039e-01    1.4044568e+00    5.8975008e+19    7.1201904e-01    4.4696517e-01   -1.0000000e+00   -1.0000000e+00
   -3.6671848e+02    1.3121419e+00    4.3748594e-01    7.6211270e-01    1.9127355e-01    1.4042861e+00    5.8963886e+19    7.1210562e-01    4.4692006e-01   -1.0000000e+00   -1.0000000e+00
   -3.6662738e+02    1.3120519e+00    4.3744360e-01    7.6216498e-01    1.9125681e-01    1.4041166e+00    5.8952843e+19    7.1219156e-01    4.4687523e-01   -1.0000000e+00   -1.0000000e+00
   -3.6653666e+02    1.3119624e+00    4.3740146e-01    7.6221696e-01    1.9124015e-01    1.4039482e+00    5.8941861e+19    7.1227700e-01    4.4683063e-01   -1.0000000e+00   -1.0000000e+00
   -3.6644714e+02    1.3118745e+00    4.3736001e-01    7.6226805e-01    1.9122377e-01    1.4037827e+00    5.8931065e+19    7.1236096e-01    4.4678675e-01   -1.0000000e+00   -1.0000000e+00
   -3.6635879e+02    1.3117882e+00    4.3731930e-01    7.6231819e-01    1.9120767e-01    1.4036204e+00    5.8920470e+19    7.1244333e-01    4.4674366e-01   -1.0000000e+00   -1.0000000e+00
   -3.6627170e+02    1.3117038e+00    4.3727945e-01    7.6236721e-01    1.9119192e-01    1.4034617e+00    5.8910106e+19    7.1252388e-01    4.4670149e-01   -1.0000000e+00   -1.0000000e+00
   -3.6618466e+02    1.3116204e+00    4.3723999e-01    7.6241573e-01    1.9117632e-01    1.4033048e+00    5.8899849e+19    7.1260357e-01    4.4665973e-01   -1.0000000e+00   -1.0000000e+00
   -3.6609785e+02    1.3115381e+00    4.3720108e-01    7.6246355e-01    1.9116093e-01    1.4031502e+00    5.8889738e+19    7.1268210e-01    4.4661854e-01   -1.0000000e+00   -1.0000000e+00
   -3.6594219e+02    1.3113935e+00    4.3713255e-01    7.6254765e-01    1.9113383e-01    1.4028783e+00    5.8871950e+19    7.1282020e-01    4.4654601e-01   -1.0000000e+00   -1.0000000e+00
